mask_method,asym_masked_token_ratio,sym_masked_token_ratio,sym_masked_atom_ratio
entity,0.050955414012738856,0.050955414012738856,0.0015364354697102733
atom,0.933993399339934,0.933993399339934,0.44564286937168296
entity,0.9859375,0.9859375,0.4882096069868995
token,0.209375,0.209375,0.10532822351341331
entity,0.9491525423728814,0.9491525423728814,0.46008987802268353
token,0.33125,1.0,0.46510656080234014
atom,1.0,1.0,0.42263035676588556
entity,0.5984375,0.5984375,0.2266902342023862
atom,1.0,1.0,0.46342794759825323
atom,1.0,1.0,0.4030382150486589
entity,0.05054151624548736,0.05054151624548736,0.0
token,0.5781758957654723,0.742671009771987,0.42270742358078606
token,0.2766798418972332,0.2766798418972332,0.144963144963145
entity,0.75,0.75,0.2872458410351202
all,1.0,1.0,0.48586118251928023
token,0.88125,0.88125,0.4053907380607815
atom,1.0,1.0,0.4119665451426121
all,1.0,1.0,0.47392996108949415
entity,0.91875,0.91875,0.41650066401062413
entity,0.8876404494382022,0.8876404494382022,0.4982148653034729
token,0.784375,0.9796875,0.47620004016870854
entity,0.8528138528138528,0.8528138528138528,0.4964777947932618
token,0.28180354267310787,0.7133655394524959,0.36413684624459297
atom,1.0,1.0,0.43889328063241106
token,0.5451612903225806,0.5451612903225806,0.29481733220050976
atom,1.0,1.0,0.42948207171314745
token,0.8076923076923077,0.8653846153846154,0.42400000000000004
token,0.9375,0.9609375,0.49289638189050955
all,1.0,1.0,0.5117299256151058
token,0.4703125,0.4703125,0.20992573809092552
token,0.2504930966469428,0.2504930966469428,0.12763192097738496
token,0.4421875,0.4578125,0.21554516012954306
token,0.1234375,0.1234375,0.08714596949891062
entity,0.6730769230769231,0.6730769230769231,0.3828571428571429
token,0.50625,0.7828125,0.34008733624454146
atom,1.0,1.0,0.4265169424743893
all,1.0,1.0,0.4463331714424478
atom,1.0,1.0,0.4423541247484909
atom,1.0,1.0,0.3948370715192552
all,1.0,1.0,0.4868711164562036
entity,0.05737704918032787,0.05737704918032787,0.03122537431048067
entity,0.5109375,0.5109375,0.2670473631172321
all,1.0,1.0,0.4891756869275604
token,0.6115107913669064,0.8633093525179856,0.29924502402196296
token,0.3944954128440367,0.3944954128440367,0.10576923076923073
atom,0.9852216748768473,0.9852216748768473,0.36780821917808215
token,0.815625,0.815625,0.3273789075918928
entity,0.8254716981132075,0.8254716981132075,0.48968713789107765
entity,0.05345911949685535,0.05345911949685535,0.05691924581999286
atom,1.0,1.0,0.41053711939787885
all,1.0,1.0,0.5064584538268748
atom,1.0,1.0,0.44905736060970713
atom,1.0,1.0,0.3634651600753296
atom,1.0,1.0,0.46509803921568627
all,1.0,1.0,0.4902597402597403
token,0.26875,0.26875,0.13043478260869568
token,0.790625,0.790625,0.3430283360379478
token,0.6796875,0.9171875,0.4255390272438576
entity,0.921875,0.921875,0.43252673044456946
atom,1.0,1.0,0.40959894806048647
atom,1.0,1.0,0.4546021840873635
atom,1.0,1.0,0.4402503027856278
token,0.640625,0.790625,0.3856095679012346
atom,1.0,1.0,0.3817899637868598
token,0.9265625,0.9265625,0.4183406113537118
atom,1.0,1.0,0.3728613569321534
token,0.28515625,0.671875,0.3804713804713805
atom,1.0,1.0,0.42447058823529416
token,0.2755905511811024,0.2755905511811024,0.1875070597537558
entity,0.33125,0.33125,0.11418072945019053
token,0.034375,0.034375,0.014617006324666226
entity,0.045454545454545456,0.045454545454545456,0.0
entity,0.08304498269896193,0.08304498269896193,0.08551266085512665
entity,0.2515625,0.2515625,0.08028455284552849
atom,1.0,1.0,0.45336873547958845
atom,1.0,1.0,0.42331393358438896
token,0.7081218274111675,0.7081218274111675,0.32607398568019097
token,0.6054888507718696,0.6054888507718696,0.3390067865991597
atom,1.0,1.0,0.4423864940173742
all,1.0,1.0,0.4813688212927757
